id,chapter,Question,Answer
450,"Chapter 6","What is a fail operational autopilot/landing system?","A fail operational automatic pilot landing system, also known as a land 3 system, is one that employs three digital control computer channels (triplex system)... in the event of a single control channel failure... the approach, flare, and landing can be completed by the remaining automatic systems...[cite: 8695, 8696, 8697]."
451,"Chapter 6","Describe the autothrottle control system.","Autothrottle (AT) systems are designed to control and maintain thrust and/or airspeed, especially during an automatic approach and landing, by changing engine thrust[cite: 8699, 8702]."
452,"Chapter 6","How do you engage an autothrottle system?","The autothrottle is engaged by a master switch on the mode control panel (MCP) being selected to 'arm' and then an operating mode being selected...[cite: 8709, 8712]."
453,"Chapter 6","How can you disconnect an autothrottle system, and what indications are there?","The following can disconnect the autothrottle (A/T) 1. The pilot can override the AT... 2. The AT disengage switch... 3. The AT engagement switch... 4. The AT automatically disengages after touchdown...[cite: 8713, 8716, 8717, 8719, 8720, 8721]."
454,"Chapter 6","What are TOGA switches?","The takeoff go-around (TOGA) switches... provide a means of engaging the autothrottle and the flight director in the takeoff or go-around mode[cite: 8722, 8725]."
455,"Chapter 6","Explain the autothrottle operating control modes.","The normal autothrottle's modes of operation are 1. Takeoff thrust 2. Go-around thrust 3. Maximum continuous thrust 4. Airspeed 5. Airspeed/Mach hold[cite: 8728, 8731, 8732, 8733, 8734, 8735, 8736]."
456,"Chapter 6","How does the autopilot flight director system (APFDS) and the autothrottle (AT) combine to control attitude and speed during (a) the takeoff, (b) the climb, (c) the cruise, (d) the descent, and (e) the approach?","The autothrottle and APFDS work together... 1. Takeoff. The AT sets takeoff thrust, and the APFDS adjusts pitch... 2. Climb. Either a. The APFDS controls airspeed... b. The APFDS controls the vertical path... 3. Cruise. The AT controls engine thrust... 4. Descent. Either a. The throttles retard... b. The AT controls airspeed... 5. Approach. The AT controls airspeed, and the APFDS controls the attitude...[cite: 8737, 8740, 8741, 8742, 8743, 8744, 8745, 8746, 8747, 8748, 8749]."
457,"Chapter 6","What aircraft systems use hydraulic power?","The common aircraft systems that use a hydraulic force are 1. Landing gear 2. Brakes/antiskid system 3. Steering 4. Flying controls... 5. Stairs 6. Doors[cite: 8754, 8755, 8756, 8757, 8758, 8759, 8768, 8769]."
458,"Chapter 6","What are the advantages of a hydraulic system over a pneumatic system?","The advantages of a hydraulic system over a pneumatic system are as follows: Hydraulic fluid is incompressible, and this makes the system respond instantly and more efficient...[cite: 8770, 8771]."
459,"Chapter 6","What are the advantages of a pneumatic system over a hydraulic system?","The advantages of a pneumatic system over a hydraulic system are as follows: 1. Air weighs less than hydraulic fluid... 2. You do not have any problems of availability and cost with air...[cite: 8773, 8774, 8775, 8776]."
460,"Chapter 6","What is a typical landing gear layout?","Most aircraft use the tricycle layout, where the two main undercarriage units are positioned just aft of the center of gravity... The nose-wheel unit keeps the aircraft level and in most cases provides a means of steering[cite: 8777, 8778, 8781]."
461,"Chapter 6","What is the purpose of retractable landing gear?","The main purpose of retractable landing gear is to improve aircraft performance by reducing the drag created by extended gear in flight[cite: 8782, 8783]."
462,"Chapter 6","How is the landing gear extended and retracted?","The gear is operated by the crew member via a gear lever in the cockpit... Gear retraction normally is accomplished by a hydraulic system...[cite: 8784, 8785, 8786]."
463,"Chapter 6","What is nose wheel shimmy?","Nose wheel shimmy is unstable swiveling oscillation of the nose wheel due to the flexibility of tire sidewalls, especially at high speed[cite: 8794, 8795]."
464,"Chapter 6","What are the requirements of a nose wheel?","The nose wheel requirements are as follows: 1. To carry the aircraft's direct compression load weight 2. To provide a towing attachment 3. To withstand shear loads 4. Castoring... 5. Self-centering... 6. Steering 7. Antishimmy[cite: 8797, 8798, 8799, 8800, 8801, 8802, 8803, 8804, 8805]."
465,"Chapter 6","What is tire creep?","Creep is the tendency of the tire to rotate slowly (creep) around the wheel hub as a result of a millisecond landing friction on the tire before wheel spin occurs[cite: 8806, 8807]."
466,"Chapter 6","How is creep detected?","When the tire is installed a mark... is placed on the tire sidewall, and a second dot is placed adjacent on the wheel hub. From then on, any displacement of the red dots from each other indicates tire creep...[cite: 8809, 8810, 8811]."
467,"Chapter 6","What are fusible tire plugs?","Fusible plugs offer protection from tire blowouts caused by thermal expansion that is generated in the tire under extra hard braking conditions[cite: 8812, 8813]."
468,"Chapter 6","What are chimed tires?","A chimed tire has a special sidewall construction that takes the form of a ridge built onto the sidewall that diverts runway water to the side...[cite: 8816, 8817]."
469,"Chapter 6","Describe a typical braking system.","Most aircraft braking systems use hydraulic fluid pressure to move friction brake pads... against rotating brake plates to slow down the plates and therefore the wheel[cite: 8818, 8819]."
470,"Chapter 6","How does an automatic brake system decelerate an aircraft?","An automatic brake system regulates the amount of brake pressure by controlling the metering valve in the hydraulic brake line so as to maintain a constant deceleration rate until the aircraft reaches a complete stop[cite: 8822, 8823]."
471,"Chapter 6","Tire temperature prior to takeoff depends on what factors?","Prior to the takeoff run, the following factors affect tire temperature: 1. Outside air temperature (OAT) 2. Aircraft weight 3. Taxi time 4. Amount of braking...[cite: 8830, 8831, 8832, 8833, 8834]."
472,"Chapter 6","Brake temperature prior to takeoff depends on what factors?","Prior to the takeoff run, the following factor affects the brake temperature: 1. Taxi time... and the number of brake applications used[cite: 8837, 8838]."
473,"Chapter 6","Why is it important to monitor pneumatic tire temperatures prior to takeoff?","It is important to monitor tire temperature because an increase can lead to an increase in tire pressure, which causes the tire to expand, possibly too its blowout limit[cite: 8847, 8848]."
474,"Chapter 6","Why is it important to monitor brake temperature?","It is important to monitor the brake temperature... to ensure that the aircraft's inertia... will not cause the brakes to overheat and lose efficiency, bind, and even cause tire failure or fire if the takeoff were abandoned...[cite: 8849, 8850, 8851]."
475,"Chapter 6","Which brakes get the hottest during a landing?","The downwind (with a crosswind) wheel brakes[cite: 8853, 8854]."
476,"Chapter 6","What is the purpose of antiskid systems?","The purpose of an antiskid system is to sense when the wheels are locked... and to release brake pressure... to generate wheel spin[cite: 8856, 8857]."
477,"Chapter 6","How do antiskid systems work?","First, the antiskid system has a detection system that senses the moment a wheel stops rotating... Once it senses that the wheel is not rotating, the antiskid system releases brake pressure...[cite: 8861, 8862, 8863]."
478,"Chapter 6","What does an antiskid system protect against?","An antiskid system protects against the following: 1. Locked wheel 2. Wheel skid/slip 3. Hydroplaning/aquaplaning 4. Touchdown[cite: 8865, 8866, 8867, 8868, 8869, 8870]."
479,"Chapter 6","How is aircraft cabin pressure measured?","Cabin pressure is measured as a differential between the ambient atmospheric air pressure outside the aircraft and the air pressure inside the cabin[cite: 8871, 8872]."
480,"Chapter 6","How is the aircraft (cabin) pressurized/pressure controlled?","Aircraft (cabin) pressurization is controlled by the cabin's outflow air valve... the exhaustion of the air from the cabin is regulated by the main outflow valve to either build up, reduce, or to maintain an internal pressure...[cite: 8876, 8877, 8879]."
481,"Chapter 6","At what cabin altitude should a pilot go on oxygen?","10,000 ft[cite: 8883]."
482,"Chapter 6","What oxygen supply is delivered when selected to normal?","Normal selected on a pilot's oxygen mask delivers a sea-level pressure mixture of oxygen and ambient cabin air on demand[cite: 8884, 8885]."
483,"Chapter 6","Why and when should a pilot use 100% oxygen on demand?","100% oxygen on demand is used for life-support reasons to maintain the partial pressure of oxygen at or near sea-level pressure[cite: 8886, 8887]."
484,"Chapter 6","When do you use emergency 100% oxygen?","100% emergency oxygen is pure oxygen supplied continuously under positive pressure. It is used 1. For life-support conditions above 34,000 ft 2. For medical conditions... 3. Whenever smoke and/or other harmful gases are present...[cite: 8891, 8892, 8893, 8894, 8895]."
485,"Chapter 6","What indications are there of a discharged crew oxygen bottle as a result of excess pressure?","First, a green disk on the aircraft's fuselage is blown out... Second, oxygen pressure gauges in the cockpit will indicate below normal or zero...[cite: 8899, 8900, 8901]."
486,"Chapter 6","At what cabin altitude should passengers go on oxygen?","14,000 ft[cite: 8902]."
487,"Chapter 6","How is the passenger oxygen system activated?","The passenger oxygen system is activated either by the flight crew manually automatically by a barometric pressure controller...[cite: 8905, 8906]."
488,"Chapter 6","Prior to takeoff, what are the oxygen requirements for a flight?","For an individual flight, there must be enough oxygen in the crew system to allow for a 15 to 20-minute descent... plus enough oxygen for the rest of the flight... In addition, there must be enough passenger oxygen...[cite: 8908, 8909, 8910]."
489,"Chapter 6","What elements are required for a fire?","The elements required for a fire are (1) oxygen, (2) a combustible material (fuel), and (3) an ignition source (heat)[cite: 8911, 8912]."
490,"Chapter 6","What is the most practical way to eliminate a fire?","Remove its oxygen supply[cite: 8913]."
491,"Chapter 6","What type of extinguisher should be used for electrical and flammable fires and normally found in the cockpit?","Bromochlorodifluoromethane (BCF)[cite: 8914, 8915]."
492,"Chapter 6","What color container is BCF stored in?","Bromochlorodifluoromethane (BCF) is stored in signal red, purple-brown, or green containers[cite: 8916, 8917]."
493,"Chapter 6","What is the greatest contamination of fuel?","Water[cite: 8918]."
494,"Chapter 6","What steps can be taken to safeguard against water contamination?","1. Water drains in fuel tanks 2. Fuel heaters... 3. Atmosphere exclusion in the fuel tanks[cite: 8919, 8920, 8923, 8924]."
495,"Chapter 6","What is specific gravity?","Specific gravity (SG) of a substance is the ratio of the weight of a unit volume of the substance to the weight of the same volume of water...[cite: 8927, 8928]."
496,"Chapter 6","What affects the specific gravity of a substance?","The specific gravity of a substance varies with its density, which in turn varies inversely with its temperature[cite: 8931, 8932]."
497,"Chapter 6","How is fuel measured?","The quantity of fuel on board an aircraft usually is measured in terms of its mass, i.e., in either kilograms (kg) or pounds (lb)[cite: 8934, 8935]."
498,"Chapter 6","Convert fuel weights to volume, and vice versa.","Using a SG of 0.8, Weight in kilograms / 0.8 = volume in liters; Volume of liters * 0.8 = weight in kilograms[cite: 8937, 8938, 8939, 8940]."
499,"Chapter 6","Why is fuel measured in terms of a mass (weight) rather than by volume?","Fuel is not measured in terms of a volume because a volume of fuel will increase with a temperature rise and, more important, will decrease with a temperature drop... with a drop in temperature, the specific gravity increases, which ensures that the indicated mass (weight) of fuel remains the same[cite: 8945, 8946, 8947]."
500,"Chapter 6","What precautions should be taken before and during aircraft fueling?","The following procedures should be carried out: 1. Before fueling commences, fueling zones should be established... a. No smoking b. If the APU exhaust discharges into the zone, then it should not be started... c. Ground power units should be located as far away as practical... d. Fire extinguishers should be located so as to be readily accessible 2. During fueling, the aircraft should be earthed and bonded...[cite: 8949, 8950, 8951, 8952, 8954, 8955, 8956]."
501,"Chapter 6","What is a deicing system?","A deicing system is one in which ice is allowed to build up on a surface and is then removed, e.g., with pneumatic leading-edge boots[cite: 8960, 8961]."
502,"Chapter 6","What is an anti-icing system?","An anti-icing system is one in which ice is prevented from building up on a surface, e.g., thermal or electrical anti-icing systems on engine cowls[cite: 8963, 8964]."
503,"Chapter 6","What is the purpose of cockpit window heating?","The purpose of heating the windows is to prevent them from breaking as a result of bird strikes[cite: 8965, 8966]."
504,"Chapter 6","What is electricity?","Electricity is the movement of electrons (electromotive force and current) that produces a power[cite: 8972, 8973]."
505,"Chapter 6","What is a volt a measure of?","A volt is a unit of electrical force/pressure (expressed as a V). Volts are a measure of 1. Electromotive force (EMF)... 2. Potential differences (pd)...[cite: 8974, 8975, 8976, 8977]."
506,"Chapter 6","What does a voltmeter (gauge) show?","A voltmeter indicates the number of volts produced by an electrical source... or the potential difference in a system between any two points...[cite: 8980, 8981]."
507,"Chapter 6","What is an amp (ampere) a measure of?","An amp (ampere) is a unit of electric current (expressed as an I), i.e., the number of electrons flowing in a circuit when an electrical pressure/force (volts) is applied[cite: 8983, 8984]."
508,"Chapter 6","What does an ammeter (gauge) show?","An ammeter indicates the number of amps/ampere (quantity of electrons flowing in a current) in an electric circuit[cite: 8986, 8987]."
509,"Chapter 6","What is an ohm a measure of?","An ohm is a unit of electrical resistance (expressed by the symbol R), i.e., the degree of resistance or opposition to current flow (or amps)[cite: 8989, 8990]."
510,"Chapter 6","What does an ohmmeter (gauge) show?","An ohmmeter measures and indicates the amount of ohms (electrical resistance) to the electric current[cite: 8993, 8994]."
511,"Chapter 6","What is a watt a measure of?","A watt is a unit of electrical power (expressed by the symbol P), where the electrical power (watt) is a product of the volts and amps being used in the electrical circuit[cite: 8995, 8996]."
512,"Chapter 6","What does a wattmeter (gauge) show?","A wattmeter measures and indicates the number of watts (electrical power) being consumed[cite: 9001, 9002]."
513,"Chapter 6","What is a series circuit?","A series circuit is one in which there are no junctions or branches, just one circuit path[cite: 9003, 9004]."
514,"Chapter 6","What is a parallel circuit?","A parallel circuit is one in which there are two or more alternative paths that subsequently reunite[cite: 9007, 9008]."
515,"Chapter 6","What is the purpose of a fuse?","A fuse is a piece of wire with a low melting point that is placed in series with the electrical load and either melts, blows, or ruptures when a current with a higher value than its ampere rating is placed on it...[cite: 9012, 9013]."
516,"Chapter 6","How many spare fuses should be carried on an aircraft?","There should be a minimum of 10 percent (or at least three) spare fuses of the total number of each rated fused installed[cite: 9014, 9015]."
517,"Chapter 6","What are circuit breakers?","Circuit breakers (CBs) are thermal devices placed in series with an electrical load. They open circuit and thus cut off the electrical equipment when they experience an abnormal (overload) current operating condition[cite: 9016, 9017, 9018]."
518,"Chapter 6","What are non-trip-free circuit breakers?","A non-trip-free circuit breaker can be held in under a fault condition as an emergency measure to complete the circuit and engage the electrical load[cite: 9021, 9022]."
519,"Chapter 6","What is a trip-free circuit breaker?","A trip-free circuit breaker will not make any internal contact by pressing the reset button with an overload condition in the electric circuit[cite: 9023, 9024]."
520,"Chapter 6","What is dc electrical power?","Direct current (dc) electrical power flows in only one direction around a circuit and has no appreciable variation in its amplitude[cite: 9027, 9028]."
521,"Chapter 6","What are an aircraft's typical sources of dc electrical power?","An aircraft's typical sources of de electrical power are 1. Dc generator 2. Battery 3. Ground de supply 4. Rectifier (changes ac to dc)[cite: 9029, 9030, 9031, 9032, 9033, 9034]."
522,"Chapter 6","How does a battery create electrical energy?","A battery uses chemical action to separate electrons from their parent atoms and thus generate dc electricity[cite: 9036, 9037]."
523,"Chapter 6","What is a primary cell battery?","A primary cell battery uses up the chemicals that produce the electrical energy[cite: 9039, 9040]."
524,"Chapter 6","What is a secondary cell battery?","A secondary cell battery can reverse the chemical changes that take place in its discharge[cite: 9042, 9043]."
525,"Chapter 6","What is alternating current?","Alternating current (ac) continuously reverses its direction of flow in an electric circuit[cite: 9047, 9048]."
526,"Chapter 6","What advantages does ac electrical power have over dc electrical power?","The advantages of ac power are as follows: 1. Ac generators (alternators) are simpler and more robust... 2. The power-to-weight ratio of ac machines is much better... 3. The supply voltage can be converted... 4. Any required de voltage can be obtained simply... 5. Three-phase ac motors can be operated from a constant frequency source... 6. Ac generators do not suffer from commutation problems... 7. High-voltage ac systems require less cable weight...[cite: 9053, 9054, 9055, 9056, 9057, 9058, 9059, 9060]."
527,"Chapter 6","What are an aircraft's typical sources of ac power?","The typical sources of ac electrical power for an aircraft are as follows: 1. Ac generators (alternators)... 2. Inverters (converts de to ac)... 3. Ground ac supply 4. Transformers (change the ac voltage level)[cite: 9061, 9062, 9063, 9064, 9066, 9067]."
528,"Chapter 6","What is a transformer?","A transformer is an electrical device without any moving parts that uses magnetic induction between two windings... to increase or decrease the alternating current[cite: 9068, 9069]."
529,"Chapter 6","What do constant-speed drive units (CSD) achieve?","Constant-speed drive units (also known as a generator drive) maintain the ac frequency output of an alternator, normally, to 400 Hz[cite: 9075, 9076]."
530,"Chapter 6","How does a basic constant-speed drive (CSD) system work?","The basic constant-speed drive unit (also known as a generator drive) consists of an engine-driven hydraulic pump that drives a hydraulic motor, which itself drives the alternator[cite: 9079, 9080]."
531,"Chapter 6","When can you disconnect and then reconnect a CSD unit?","The constant-speed drive (CSD) unit can be disconnected at any time, but reconnection can only be done manually on the ground following shutdown of the engine[cite: 9084, 9085]."
532,"Chapter 6","What are the effects of a buildup of static electricity on an aircraft?","Static electricity has the potential to create a spark, inducing a fire risk and/or creating radio interference, if it is allowed to build up in a section of an aircraft[cite: 9086, 9087]."
533,"Chapter 6","How is the risk of static electricity reduced?","Bonding prevents any part of the aircraft from building up static electricity. Bonding is the joining by flexible wire strips of each part of the aircraft's metal structure... Static wicks are fitted to the trailing of the aircraft surfaces...[cite: 9088, 9089, 9091, 9092]."
534,"Chapter 6","What are the basic parameters of an aircraft's electrical system?","The basic parameters of an aircraft's electrical system are 1. No paralleling of the ac sources of power. 2. All generator bus sources have to be manually connected through the movement of a switch...[cite: 9093, 9094, 9095]."
535,"Chapter 7","What are the following aircraft weight definitions?","Basic weight: The weight of the empty aircraft with all its basic equipment plus a declared quantity of unusable fuel and oil. Variable load: The weight of the crew, crew baggage, and removable units. APS weight: Aircraft prepared for service (APS basic weight + variable load). Payload: Passengers and/or cargo. Disposable load: The weight of the payload and fuel. Ramp weight: Gross aircraft weight prior to taxi. MTOW: Maximum takeoff weight. MLW: Maximum landing weight. ZFW: Zero fuel weight."
536,"Chapter 7","What factors determine the loading (weight and balance) of an aircraft?","The factors that determine the loading are 1. To ensure that combined component weights (Cargo, Baggage, Crew, Fuel, etc.) do not exceed the aircraft's overall gross weight limitations. 2. The distribution of the weights ensures that the center of gravity is within its limits to longitudinally balance the aircraft."
537,"Chapter 7","In loading an aircraft to obtain maximum range, would you load it with an aft or forward center of gravity?","(See Chapter 1, 'Aerodynamics,' page 16.)"
538,"Chapter 7","What is the takeoff run available (TORA)?","Takeoff run available (for all engine operations) is the usable length of the runway available that is suitable for the ground run of an aircraft taking off."
539,"Chapter 7","What is the takeoff run required (TORR)?","Takeoff run required is the measured run (length) required to the unstick speed (VR) plus one-third of the airborne distance between the unstick and the screen height. The whole distance is then factored by a safety margin, usually 15 percent."
540,"Chapter 7","What is the runway clearway?","The clearway is the length of an obstacle-free area at the end of the runway in the direction of the takeoff... It is an area over which an aircraft may make a portion of its initial climb to a specified height."
541,"Chapter 7","What is the takeoff distance available (TODA)?","Takeoff distance available is the length of the usable runway available plus the length of the clearway available, within which the aircraft initiates a transition to climbing flight and attains a screen height at a speed not less than the takeoff safety speed (V2)."
542,"Chapter 7","What is the takeoff distance required (TODR)?","Takeoff distance required is the measured distance required to accelerate to the rotation speed (VR) and thereafter effect a transition to a climbing flight and attain a screen height at a speed not less than the takeoff safety speed (V2)."
543,"Chapter 7","What is screen height?","Screen height relates to the minimum height achieved over the runway before the end of the clearway should an engine failure occur on takeoff."
544,"Chapter 7","How high is the screen height for propeller and jet aircraft?","The screen height for propeller-engined aircraft in dry conditions is 50 ft. The screen height for jet aircraft in dry conditions is 35 ft (reduced to 15 ft in wet conditions)."
545,"Chapter 7","What is the runway stopway?","The stopway is the length of an unprepared surface at the end of the runway in the direction of the takeoff that is capable of supporting an aircraft if the aircraft has to be stopped during a takeoff run."
546,"Chapter 7","What is the emergency distance available (EMDA)/accelerate stop distance available (ASDA)?","Emergency distance available (ASDA) is the length of the takeoff run available, usually the physical length of the runway, plus the length of any stopway available."
547,"Chapter 7","What is the emergency distance/required (ED/EDR)?","Emergency distance required is the distance required to accelerate during the takeoff run on all engines to the critical speed, V1, at which point an engine failure is assumed to have occurred, and the pilot aborts the takeoff and brings the aircraft to a halt before the end of the runway or stopway."
548,"Chapter 7","Explain balanced and unbalanced fields.","A balanced field exists when TODA = EMDA(ASDA)... An unbalanced field exists when TODA is greater than EMDA."
549,"Chapter 7","What is the purpose of using balanced field calculations?","The purpose of using a balanced field calculation is to optimize the V2 climb performance with a correct V1/VR speed from a single performance calculation/chart without having to perform a second and separate increased V2 calculation."
550,"Chapter 7","How can a stopway extend beyond the clearway?","A stopway sometimes may extend beyond the clearway if the length of the clearway is limited because of an obstruction within 75 m of the runway/stopway centerline."
551,"Chapter 7","What is the significance of the 40- to 100-knot call during the takeoff roll?","The 40- to 100-knot call is used to check requirements including: 1. Directional control surface starts to become effective. 2. Takeoff engine pressure ratio (EPR) should be set. 3. Cross-check the airspeed indicator gauges."
552,"Chapter 7","What is VMU speed?","VMU is the minimum demonstrated unstick speed at which it is possible to get airborne on all engines and to climb out without hazard."
553,"Chapter 7","What is the critical speed?","Critical speed is the lowest possible speed on a multiengine aircraft at a constant power setting and configuration at which the pilot is able to maintain a constant heading after failure of an off-center engine."
554,"Chapter 7","What is VMCG speed?","VMCG is the minimum control speed on the ground for a multiengine aircraft... at and above which it is possible to maintain directional control of the aircraft... by use of the rudder... after failure of an off-center engine."
555,"Chapter 7","What is V1 speed?","V1 is the decision speed in the event of an engine failure during the takeoff roll, at which it is possible to continue the takeoff and achieve the screen height... or to bring the aircraft to a full stop within the emergency distance available."
556,"Chapter 7","What is a range of V1 speeds?","When the planned takeoff weight is not field-length-limited... there may be a range of V1 speeds... The minimum V1 is restricted by VMCG, and the maximum V1 is restricted by VMBE."
557,"Chapter 7","How does weight affect the V1 speed?","If the field length is limiting, the greater the aircraft weight, the lower is the V1 speed. If the field length is not limiting, the greater the aircraft weight, the higher is the V1 speed."
558,"Chapter 7","What is the difference between a dry V1 and wet V1?","A dry V1 is the normal decision speed... A wet V1 is the maximum speed for abandoning a takeoff on a contaminated runway. A wet V1 is a lower speed than dry V1."
559,"Chapter 7","How does a contaminated runway (ice and rain) affect distance and V1 speed?","For a given aircraft weight on a contaminated runway, the emergency distance required is increased... If distance is limited, the normal dry V1 offers the best compromise... If there is a distance to spare, a progressive reduction in the V1 speed to the wet V1 reduces the risk associated with the aborted takeoff."
560,"Chapter 7","How does screen height change with a wet V1?","Screen height is reduced for a jet aircraft using a wet V1 (typically to 15 ft)."
561,"Chapter 7","What is VMBE speed?","Maximum brake energy speed (VMBE) is the maximum speed on the ground from which a stop can be accomplished within the energy capabilities of the brakes."
562,"Chapter 7","What do you do if V1 is greater than VMBE?","If V1 exceeds VMBE, then the aircraft's takeoff weight has to be reduced until the V1 speed is less than or equal to VMBE."
563,"Chapter 7","What is VR speed?","VR (rotation speed) is the speed at which the pilot initiates rotation during the takeoff to achieve V2 at the screen height."
564,"Chapter 7","What is the relationship of V1 and VR?","VR is either greater or equal to V1 but never less than V1."
565,"Chapter 7","What is VS speed?","VS (stall speed) is the speed at which the airflow over the wings will stall."
566,"Chapter 7","What is Va speed?","Maneuvering speed (Va) is the airspeed at which maximum elevator deflection causes the stall to occur at the airframe's load factor limit."
567,"Chapter 7","What is VMCA speed?","VMCA is the minimum control speed in the air for a multiengine aircraft... at and above which it is possible to maintain directional control... by use of the rudder... after the failure of an off-center engine."
568,"Chapter 7","How would you teach a student about VMCG/A?","VMCG/A relates to the minimal directional control speed... at which the turning moment produced by the vertical tailplane with maximum rudder deflection is sufficient to balance the yawing moment of the aircraft nose when the aircraft loses an off-center engine."
569,"Chapter 7","How does VMCG/A vary with center of gravity position?","An aft center of gravity position requires a higher VMCG/A because the vertical tailplane moment arm is shorter. A forward center of gravity position allows a lower VMCG/A."
570,"Chapter 7","If VMCG is limiting for the weight of the aircraft, what can you do?","Reduce takeoff thrust. Reduced thrust reduces the yawing moment from an engine failure, requiring less rudder authority, thus allowing a lower VMCG."
571,"Chapter 7","What is the relationship between VMCG and V1?","VMCG has to be equal to or less than V1."
572,"Chapter 7","If you had an engine failure between V1 and VR and you had a maximum crosswind, which engine would be the best to lose?","Upwind engine. The crosswind would then oppose the yawing moment of the downwind engine."
573,"Chapter 7","What is V2 speed?","V2 speed is the takeoff safety speed achieved by the screen height in the event of an engine failure that maintains adequate directional control and climb performance properties."
574,"Chapter 7","What is the relationship between VS and V2?","V2 is equal to or greater than 1.2 * VS."
575,"Chapter 7","What is the difference between VMCA and V2?","VMCA must be less than V2. Normally, V2 is equal to or greater than 1.1 VMCA."
576,"Chapter 7","What is V3 speed?","V3 speed is the all-engine-operating takeoff climb speed the aircraft will achieve at the screen height."
577,"Chapter 7","What is V4 speed?","V4 speed is the all-engine-operating takeoff climb speed the aircraft will achieve by 400 ft, used as the lowest height where acceleration to flap retraction speed is initiated."
578,"Chapter 7","What are the main variables (conditions) that affect an aircraft's takeoff and landing performance?","1. Aircraft weight 2. Aircraft flap setting 3. Aerodrome pressure altitude 4. Air density/density altitude 5. Humidity 6. Wind 7. Runway length, slope, and surface."
579,"Chapter 7","How does aircraft weight affect takeoff performance?","Increased aircraft weight results in a greater takeoff distance required (TODR) and a reduced net takeoff climb gradient."
580,"Chapter 7","How does the use of flaps affect the aircraft's takeoff performance?","Swept-wing (jet) aircraft require a low flap setting to improve CL and reduce TORR, but large settings increase drag and degrade climb performance. Straight-wing aircraft also use low flap settings to reduce TORR."
581,"Chapter 7","How does pressure altitude affect takeoff performance?","A high aerodrome elevation (high pressure altitude) decreases performance and results in an increased takeoff distance required (TODR)."
582,"Chapter 7","How does air density (rho)/density altitude affect the takeoff performance?","An increase in density altitude (decrease in air density) increases the takeoff distance required (TODR)."
583,"Chapter 7","How does humidity affect takeoff performance?","High humidity decreases air density, which decreases aerodynamic and engine performance, resulting in an increased TOR/D required."
584,"Chapter 7","How does wind affect the takeoff performance?","Headwind reduces the takeoff distance required... Tailwind increases the takeoff distance required."
585,"Chapter 7","What are the recommended adjustments to headwind and tailwind components when calculating field length performance?","Not more than 50 percent of the reported headwind or not less than 150 percent of the reported tailwind should be used."
586,"Chapter 7","What are the crosswind limitations on an aircraft?","The aircraft must not take off or land in a crosswind that exceeds its certified maximum crosswind limitation."
587,"Chapter 7","How does the runway length, surface, and slope affect takeoff performance?","Runway length: Longer runway allows greater takeoff weight. Runway surface: Hard/dry allows good acceleration; grass/wet retards acceleration. Runway slope: Downward slope reduces TORR; upward slope increases TORR."
588,"Chapter 7","When are you not permitted to take off from a wet runway?","1. The aircraft antiskid system is inoperative. 2. The standing water level is above a specified limit. 3. Any other type-specific restrictions."
589,"Chapter 7","Describe field length limits.","The most restrictive field length available (all-engine, emergency distance, or one-engine-inoperative) limits the aircraft's MTOW."
590,"Chapter 7","Describe the weight, altitude, and temperature (WAT) limits.","WAT limits the aircraft's MTOW so that it meets the required second segment climb gradient performance with one engine inoperative."
591,"Chapter 7","What guaranteed altitude/height would you be able to achieve at MTOW WAT-limited conditions with one engine inoperative?","The circuit height, i.e., 1500 ft."
592,"Chapter 7","What is an assumed/flexible temperature?","An assumed/flexible temperature is a performance calculation technique used to find the takeoff engine pressure ratio (EPR) setting for an aircraft's actual takeoff weight (reduced/derated thrust)."
593,"Chapter 7","What are the limitations of a variable/reduced-thrust (flexible) takeoff?","(See Chapter 2, 'Engines.')"
594,"Chapter 7","Describe tire speed limits.","Tire speed limit restricts the aircraft's MTOW so that the VR (liftoff speed) is less than the maximum rated ground speed limit for the tires."
595,"Chapter 7","Describe brake energy limits.","Brake energy capacity limits the aircraft's MTOW so that V1 does not exceed VMBE."
596,"Chapter 7","How are reverse thrust, antiskid, and braking applied to stopping distance?","Reverse thrust: Not applied to takeoff emergency stopping distance. Antiskid: Applied to both takeoff distance and landing stopping distance. Braking: Maximum braking performance is applied to both."
597,"Chapter 7","Describe the difference between net and gross flight paths/performance.","Gross performance is the average performance a fleet should achieve (50% chance of exceeding). Net performance is the gross performance diminished to allow for contingencies (improbable not to achieve)."
598,"Chapter 7","Describe the departure profile segments (sectors) 1 to 4.","Reference zero (35 ft). 1st segment: Ref zero to gear retraction (V2). 2nd segment: End of 1st to gross height 400-1000 ft (V2). 3rd segment: Level-flight acceleration and flap retraction. 4th segment: 3rd segment level-off to net height of 1500 ft (flaps up, MCT)."
599,"Chapter 7","What is climb gradient?","Climb gradient is the ratio, expressed as a percentage, of change in height divided by horizontal distance traveled."
600,"Chapter 7","Describe the net takeoff flight path (obstacle clearance).","The net takeoff flight path is the true height versus horizontal distance traveled from reference zero, assuming failure of the critical engine at V1."
601,"Chapter 7","What is the typical jet takeoff technique and the various flight path options?","Flight path begins at reference zero (35 ft, V2). Gear retraction end of 1st segment. Climb at V2 until 2nd segment level-off. Accelerate and retract flaps (3rd segment). Continue climb in 4th segment."
